measure_env	evolution_env	replicate	transfer	od600
bact_strep	anc	D	5	0.102
bact_strep	anc	E	5	0.099
bact_strep	anc	F	5	0.096
bact_pred_strep	bact	A	5	0.07
bact_pred_strep	bact	B	5	0.051
bact_pred_strep	bact	C	5	0.054
bact_pred_strep	bact	D	5	0.066
bact_pred_strep	bact	E	5	0.082
bact_pred_strep	bact	F	5	0.058
bact_pred_strep	bact_pred	A	5	0.081
bact_pred_strep	bact_pred	B	5	0.056
bact_pred_strep	bact_pred	C	5	0.058
bact_pred_strep	bact_pred	D	5	0.056
bact_pred_strep	bact_pred	E	5	0.059
bact_pred_strep	bact_pred	F	5	0.059
bact_pred_strep	bact_strep	A	5	0.095
bact_pred_strep	bact_strep	B	5	0.062
bact_pred_strep	bact_strep	C	5	0.065
bact_pred_strep	bact_strep	D	5	0.058
bact_pred_strep	bact_strep	E	5	0.067
bact_pred_strep	bact_strep	F	5	0.053
bact_pred_strep	bact_pred_strep	A	5	0.099
bact_pred_strep	bact_pred_strep	B	5	0.058
bact_pred_strep	bact_pred_strep	C	5	0.052
bact_pred_strep	bact_pred_strep	D	5	0.135
bact_pred_strep	bact_pred_strep	E	5	0.064
bact_pred_strep	bact_pred_strep	F	5	0.171
bact_pred_strep	anc	A	5	0.05
bact_pred_strep	anc	B	5	0.063
bact_pred_strep	anc	C	5	0.045
bact_pred_strep	anc	D	5	0.054
bact_pred_strep	anc	E	5	0.05
bact_pred_strep	anc	F	5	0.091
bact	bact	A	6	0.104
bact	bact	B	6	0.108
bact	bact	C	6	0.084
bact	bact	D	6	0.116
bact	bact	E	6	0.112
bact	bact	F	6	0.118
bact	bact_pred	A	6	0.117
bact	bact_pred	B	6	0.106
bact	bact_pred	C	6	0.1
bact	bact_pred	D	6	0.11
bact	bact_pred	E	6	0.109
bact	bact_pred	F	6	0.101
bact	bact_strep	A	6	0.101
bact	bact_strep	B	6	0.115
bact	bact_strep	C	6	0.1
bact	bact_strep	D	6	0.106
bact	bact_strep	E	6	0.099
bact	bact_strep	F	6	0.103
bact	bact_pred_strep	A	6	0.11
bact	bact_pred_strep	B	6	0.113
bact	bact_pred_strep	C	6	0.106
bact	bact_pred_strep	D	6	0.114
bact	bact_pred_strep	E	6	0.107
bact	bact_pred_strep	F	6	0.109
bact	anc	A	6	0.109
