measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred	bact_pred_strep	B	8	9415
bact_pred	bact_pred_strep	C	8	18830
bact_pred	bact_pred_strep	D	8	18046
bact_pred	bact_pred_strep	E	8	13730
bact_pred	bact_pred_strep	F	8	12946
bact_pred_strep	anc	A	8	34130
bact_pred_strep	anc	B	8	28246
bact_pred_strep	anc	C	8	23146
bact_pred_strep	anc	D	8	17261
bact_pred_strep	anc	E	8	16084
bact_pred_strep	anc	F	8	0
bact_pred_strep	bact	A	8	34130
bact_pred_strep	bact	B	8	34130
bact_pred_strep	bact	C	8	18046
bact_pred_strep	bact	D	8	21969
bact_pred_strep	bact	E	8	19615
bact_pred_strep	bact	F	8	25107
bact_pred_strep	bact_strep	A	8	26676
bact_pred_strep	bact_strep	B	8	32168
bact_pred_strep	bact_strep	C	8	27853
bact_pred_strep	bact_strep	D	8	16084
bact_pred_strep	bact_strep	E	8	30207
bact_pred_strep	bact_strep	F	8	21184
bact_pred_strep	bact_pred	A	8	8631
bact_pred_strep	bact_pred	B	8	24715
bact_pred_strep	bact_pred	C	8	21969
bact_pred_strep	bact_pred	D	8	20792
bact_pred_strep	bact_pred	E	8	34915
bact_pred_strep	bact_pred	F	8	7061
bact_pred_strep	bact_pred_strep	A	8	19223
bact_pred_strep	bact_pred_strep	B	8	14515
bact_pred_strep	bact_pred_strep	C	8	21969
bact_pred_strep	bact_pred_strep	D	8	9807
bact_pred_strep	bact_pred_strep	E	8	10984
bact_pred_strep	bact_pred_strep	F	8	20400
bact_pred	anc	A	9	20400
bact_pred	anc	B	9	44722
bact_pred	anc	C	9	30599
bact_pred	anc	D	9	26284
bact_pred	anc	E	9	26676
bact_pred	anc	F	9	34522
bact_pred	bact	A	9	19223
bact_pred	bact	B	9	23538
bact_pred	bact	C	9	16084
bact_pred	bact	D	9	27853
bact_pred	bact	E	9	15300
bact_pred	bact	F	9	26676
bact_pred	bact_strep	A	9	11769
bact_pred	bact_strep	B	9	30992
bact_pred	bact_strep	C	9	22361
bact_pred	bact_strep	D	9	27853
bact_pred	bact_strep	E	9	22361
bact_pred	bact_strep	F	9	16477
bact_pred	bact_pred	A	9	9415
bact_pred	bact_pred	B	9	5884
bact_pred	bact_pred	C	9	12161
bact_pred	bact_pred	D	9	7061
bact_pred	bact_pred	E	9	85129
bact_pred	bact_pred	F	9	12161
bact_pred	bact_pred_strep	A	9	26284
bact_pred	bact_pred_strep	B	9	20792
bact_pred	bact_pred_strep	C	9	16869
bact_pred	bact_pred_strep	D	9	14907
bact_pred	bact_pred_strep	E	9	20007
bact_pred	bact_pred_strep	F	9	27069
bact_pred_strep	anc	A	9	0
bact_pred_strep	anc	B	9	27069
bact_pred_strep	anc	C	9	392
bact_pred_strep	anc	D	9	24323
